Found 2 clusters
         36857989 function calls (36842332 primitive calls) in 57.549 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  4511101   23.394    0.000   42.893    0.000 linalg.py:2203(norm)
     2000    9.722    0.005   47.755    0.024 dbscan.py:26(_count_nb_inside_radius)
  4511559    7.353    0.000    7.353    0.000 {built-in method numpy.core.multiarray.dot}
  4511217    4.704    0.000    4.704    0.000 {method 'ravel' of 'numpy.ndarray' objects}
  4512054    3.771    0.000    4.627    0.000 numeric.py:433(asarray)
        1    2.419    2.419    2.554    2.554 {method 'mainloop' of '_tkinter.tkapp' objects}
  4511113    1.469    0.000    2.072    0.000 linalg.py:113(isComplexType)
   1318/2    1.425    0.001    6.285    3.142 dbscan.py:45(_cluster)
9025342/9025160    1.353    0.000    1.355    0.000 {built-in method builtins.issubclass}
  4515851    0.863    0.000    0.863    0.000 {built-in method numpy.core.multiarray.array}
      661    0.090    0.000    0.090    0.000 {built-in method marshal.loads}
    954/1    0.051    0.000   57.551   57.551 {built-in method builtins.exec}
  128/102    0.046    0.000    0.080    0.001 {built-in method _imp.create_dynamic}
2178/2120    0.042    0.000    0.120    0.000 {built-in method builtins.__build_class__}
        1    0.040    0.040    0.040    0.040 {built-in method _tkinter.create}
  114/111    0.031    0.000    0.068    0.001 {method 'call' of '_tkinter.tkapp' objects}
   264/11    0.024    0.000    0.027    0.002 pyparsing.py:1347(_parseNoCache)
      297    0.023    0.000    0.058    0.000 doccer.py:12(docformat)
     1245    0.020    0.000    0.020    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
     3162    0.014    0.000    0.014    0.000 {built-in method posix.stat}
     1298    0.013    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
      719    0.013    0.000    0.013    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
      966    0.011    0.000    0.023    0.000 inspect.py:2065(_signature_from_function)
    21801    0.009    0.000    0.009    0.000 {built-in method builtins.getattr}
       36    0.009    0.000    0.010    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      663    0.009    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:816(get_data)
  531/226    0.008    0.000    0.022    0.000 sre_parse.py:491(_parse)
      293    0.008    0.000    0.014    0.000 doccer.py:172(indentcount_lines)
     7392    0.008    0.000    0.008    0.000 {method 'splitlines' of 'str' objects}
    13856    0.008    0.000    0.008    0.000 {built-in method builtins.hasattr}
      958    0.007    0.000    0.075    0.000 <frozen importlib._bootstrap>:879(_find_spec)
    81078    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
      663    0.007    0.000    0.007    0.000 {method 'read' of '_io.FileIO' objects}
      662    0.007    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
     6742    0.007    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
     6742    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
     1340    0.006    0.000    0.009    0.000 inspect.py:2664(__init__)
16624/16620    0.006    0.000    0.008    0.000 {method 'join' of 'str' objects}
     7520    0.006    0.000    0.006    0.000 {method 'expandtabs' of 'str' objects}
  1043/11    0.006    0.000    0.829    0.075 <frozen importlib._bootstrap>:966(_find_and_load)
31711/31706    0.006    0.000    0.010    0.000 {built-in method builtins.isinstance}
      805    0.006    0.000    0.006    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     7819    0.005    0.000    0.005    0.000 {method 'format' of 'str' objects}
    40362    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
     1998    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
 1299/966    0.005    0.000    0.034    0.000 inspect.py:2146(_signature_from_callable)
  987/215    0.005    0.000    0.012    0.000 sre_compile.py:64(_compile)
     1324    0.005    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:246(cache_from_source)
      662    0.005    0.000    0.132    0.000 <frozen importlib._bootstrap_external>:729(get_code)
       64    0.005    0.000    0.005    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        2    0.004    0.002    0.004    0.002 {built-in method matplotlib.backends._tkagg.blit}
     1998    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:94(acquire)
  1043/11    0.004    0.000    0.829    0.075 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
      586    0.004    0.000    0.021    0.000 inspect.py:1052(getfullargspec)
     5143    0.004    0.000    0.004    0.000 __init__.py:870(__getitem__)
      719    0.004    0.000    0.038    0.000 textwrap.py:415(dedent)
      893    0.004    0.000    0.004    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
    809/8    0.004    0.000    0.827    0.103 <frozen importlib._bootstrap>:659(_load_unlocked)
     1998    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:119(release)
